79.150.233.11 - - [17/Jan/2021:11:32:01 +0100] "GET /formes/xava/editors/js/textEditor.js?ox=6.4.2 HTTP/1.1" 200 88
79.150.233.11 - - [17/Jan/2021:11:32:01 +0100] "GET /formes/xava/editors/js/yahoo-dom-event.js?ox=6.4.2 HTTP/1.1" 304 -
79.150.233.11 - - [17/Jan/2021:11:32:01 +0100] "GET /formes/xava/editors/js/yahoo-treeview-min.js?ox=6.4.2 HTTP/1.1" 304 -
79.150.233.11 - - [17/Jan/2021:11:32:01 +0100] "GET /formes/naviox/js/naviox.js?ox=6.4.2 HTTP/1.1" 304 -
79.150.233.11 - - [17/Jan/2021:11:32:01 +0100] "GET /formes/xava/fonts/materialdesignicons-webfont.woff2?v=4.9.95 HTTP/1.1" 404 750
79.150.233.11 - - [17/Jan/2021:11:32:01 +0100] "GET /formes/xava/fonts/materialdesignicons-webfont.woff?v=4.9.95 HTTP/1.1" 304 -
79.150.233.11 - - [17/Jan/2021:11:32:01 +0100] "GET /formes/xava/js/jquery-ui.js?ox=6.4.2 HTTP/1.1" 304 -
79.150.233.11 - - [17/Jan/2021:11:32:01 +0100] "POST /formes/dwr/call/plaincall/Module.getStrokeActions.dwr HTTP/1.1" 200 119
79.150.233.11 - - [17/Jan/2021:11:32:02 +0100] "GET /favicon.ico HTTP/1.1" 404 610
79.150.233.11 - - [17/Jan/2021:11:32:02 +0100] "POST /formes/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 5445
79.150.233.11 - - [17/Jan/2021:11:32:04 +0100] "POST /formes/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 641
79.150.233.11 - - [17/Jan/2021:11:32:04 +0100] "GET /formes/ HTTP/1.1" 200 81
79.150.233.11 - - [17/Jan/2021:11:32:04 +0100] "GET /formes/m/Pedido HTTP/1.1" 200 11814
79.150.233.11 - - [17/Jan/2021:11:32:04 +0100] "GET /formes/dwr/interface/Modules.js?ox=6.4.2 HTTP/1.1" 200 970
79.150.233.11 - - [17/Jan/2021:11:32:04 +0100] "GET /formes/dwr/interface/Module.js?ox=6.4.2 HTTP/1.1" 200 1286
